mean,mean_se,mean_ci_lower,mean_ci_upper,date,district,target
0.0,1732.0681279903513,-3394.791149630801,3394.791149630801,2023-12-26,West Jaintia Hills,state
0.0,1732.0684166625751,-3394.791715417963,3394.791715417963,2023-12-27,West Jaintia Hills,state
0.0,1732.0687053347508,-3394.792281205031,3394.792281205031,2023-12-28,West Jaintia Hills,state
0.0,1732.0689940068785,-3394.7928469920043,3394.7928469920043,2023-12-29,West Jaintia Hills,state
0.0,1732.069282678958,-3394.7934127788835,3394.7934127788835,2023-12-30,West Jaintia Hills,state
0.0,1732.0695713509895,-3394.7939785656686,3394.7939785656686,2023-12-31,West Jaintia Hills,state
25.4525,1.0026680543470473e-06,25.452498034806727,25.452501965193274,2023-12-02,West Jaintia Hills,coordinates_lat
25.4525,1.4179867610158371e-06,25.452497220797017,25.452502779202984,2023-12-03,West Jaintia Hills,coordinates_lat
25.4525,1.7366720132553172e-06,25.4524965961854,25.4525034038146,2023-12-04,West Jaintia Hills,coordinates_lat
25.4525,2.0053361086940933e-06,25.45249606961345,25.452503930386552,2023-12-05,West Jaintia Hills,coordinates_lat
25.4525,2.2420339283874495e-06,25.45249560569425,25.452504394305752,2023-12-06,West Jaintia Hills,coordinates_lat
25.4525,2.4560251145394568e-06,25.45249518627923,25.452504813720772,2023-12-07,West Jaintia Hills,coordinates_lat
25.4525,2.6528103193512808e-06,25.452494800587317,25.452505199412684,2023-12-08,West Jaintia Hills,coordinates_lat
25.4525,2.8359735220316734e-06,25.452494441594038,25.452505558405964,2023-12-09,West Jaintia Hills,coordinates_lat
25.4525,3.0080041630411398e-06,25.452494104420175,25.452505895579826,2023-12-10,West Jaintia Hills,coordinates_lat
25.4525,3.1707147888261598e-06,25.45249378551321,25.452506214486792,2023-12-11,West Jaintia Hills,coordinates_lat
25.4525,3.32547372554483e-06,25.45249348219127,25.452506517808732,2023-12-12,West Jaintia Hills,coordinates_lat
25.4525,3.473344026510634e-06,25.452493192370802,25.4525068076292,2023-12-13,West Jaintia Hills,coordinates_lat
25.4525,3.6151710822179903e-06,25.45249291439488,25.45250708560512,2023-12-14,West Jaintia Hills,coordinates_lat
25.4525,3.7516403320298825e-06,25.452492646920067,25.452507353079934,2023-12-15,West Jaintia Hills,coordinates_lat
25.4525,3.883316676260305e-06,25.452492388839175,25.452507611160826,2023-12-16,West Jaintia Hills,coordinates_lat
25.4525,4.010672217388186e-06,25.4524921392269,25.4525078607731,2023-12-17,West Jaintia Hills,coordinates_lat
25.4525,4.134106295505422e-06,25.452491897300554,25.452508102699447,2023-12-18,West Jaintia Hills,coordinates_lat
25.4525,4.25396028304751e-06,25.452491662391054,25.452508337608947,2023-12-19,West Jaintia Hills,coordinates_lat
25.4525,4.370528722815324e-06,25.45249143392111,25.45250856607889,2023-12-20,West Jaintia Hills,coordinates_lat
25.4525,4.484067856774899e-06,25.452491211388498,25.452508788611503,2023-12-21,West Jaintia Hills,coordinates_lat
25.4525,4.594802255959437e-06,25.452490994353063,25.452509005646938,2023-12-22,West Jaintia Hills,coordinates_lat
25.4525,4.702930043980882e-06,25.452490782426494,25.452509217573507,2023-12-23,West Jaintia Hills,coordinates_lat
25.4525,4.808627062456197e-06,25.452490575264143,25.452509424735858,2023-12-24,West Jaintia Hills,coordinates_lat
25.4525,4.9120502290789135e-06,25.45249037255846,25.45250962744154,2023-12-25,West Jaintia Hills,coordinates_lat
25.4525,5.013340271735232e-06,25.452490174033624,25.452509825966377,2023-12-26,West Jaintia Hills,coordinates_lat
25.4525,5.112623974771701e-06,25.452489979441143,25.452510020558858,2023-12-27,West Jaintia Hills,coordinates_lat
25.4525,5.21001603976595e-06,25.452489788556203,25.452510211443798,2023-12-28,West Jaintia Hills,coordinates_lat
25.4525,5.305620638702561e-06,25.452489601174634,25.452510398825368,2023-12-29,West Jaintia Hills,coordinates_lat
25.4525,5.399532719507741e-06,25.452489417110336,25.452510582889666,2023-12-30,West Jaintia Hills,coordinates_lat
25.4525,5.491839110556932e-06,25.452489236193134,25.452510763806867,2023-12-31,West Jaintia Hills,coordinates_lat
92.2053,1.0026680543470473e-06,92.20529803480672,92.20530196519327,2023-12-02,West Jaintia Hills,coordinates_lon
92.2053,1.4179867610158371e-06,92.20529722079701,92.20530277920298,2023-12-03,West Jaintia Hills,coordinates_lon
92.2053,1.7366720132553172e-06,92.20529659618539,92.2053034038146,2023-12-04,West Jaintia Hills,coordinates_lon
92.2053,2.0053361086940933e-06,92.20529606961344,92.20530393038655,2023-12-05,West Jaintia Hills,coordinates_lon
92.2053,2.2420339283874495e-06,92.20529560569425,92.20530439430574,2023-12-06,West Jaintia Hills,coordinates_lon
92.2053,2.4560251145394568e-06,92.20529518627923,92.20530481372076,2023-12-07,West Jaintia Hills,coordinates_lon
92.2053,2.6528103193512808e-06,92.20529480058731,92.20530519941268,2023-12-08,West Jaintia Hills,coordinates_lon
92.2053,2.8359735220316734e-06,92.20529444159403,92.20530555840595,2023-12-09,West Jaintia Hills,coordinates_lon
92.2053,3.0080041630411398e-06,92.20529410442018,92.20530589557981,2023-12-10,West Jaintia Hills,coordinates_lon
92.2053,3.1707147888261598e-06,92.2052937855132,92.20530621448678,2023-12-11,West Jaintia Hills,coordinates_lon
92.2053,3.32547372554483e-06,92.20529348219127,92.20530651780872,2023-12-12,West Jaintia Hills,coordinates_lon
92.2053,3.473344026510634e-06,92.2052931923708,92.20530680762919,2023-12-13,West Jaintia Hills,coordinates_lon
92.2053,3.6151710822179903e-06,92.20529291439487,92.20530708560511,2023-12-14,West Jaintia Hills,coordinates_lon
92.2053,3.7516403320298825e-06,92.20529264692006,92.20530735307993,2023-12-15,West Jaintia Hills,coordinates_lon
92.2053,3.883316676260305e-06,92.20529238883917,92.20530761116082,2023-12-16,West Jaintia Hills,coordinates_lon
92.2053,4.010672217388186e-06,92.2052921392269,92.20530786077309,2023-12-17,West Jaintia Hills,coordinates_lon
92.2053,4.134106295505422e-06,92.20529189730054,92.20530810269945,2023-12-18,West Jaintia Hills,coordinates_lon
92.2053,4.25396028304751e-06,92.20529166239105,92.20530833760894,2023-12-19,West Jaintia Hills,coordinates_lon
92.2053,4.370528722815324e-06,92.2052914339211,92.20530856607888,2023-12-20,West Jaintia Hills,coordinates_lon
92.2053,4.484067856774899e-06,92.20529121138848,92.2053087886115,2023-12-21,West Jaintia Hills,coordinates_lon
92.2053,4.594802255959437e-06,92.20529099435305,92.20530900564694,2023-12-22,West Jaintia Hills,coordinates_lon
92.2053,4.702930043980882e-06,92.20529078242649,92.2053092175735,2023-12-23,West Jaintia Hills,coordinates_lon
92.2053,4.808627062456197e-06,92.20529057526414,92.20530942473584,2023-12-24,West Jaintia Hills,coordinates_lon
92.2053,4.9120502290789135e-06,92.20529037255845,92.20530962744154,2023-12-25,West Jaintia Hills,coordinates_lon
92.2053,5.013340271735232e-06,92.20529017403362,92.20530982596637,2023-12-26,West Jaintia Hills,coordinates_lon
92.2053,5.112623974771701e-06,92.20528997944113,92.20531002055885,2023-12-27,West Jaintia Hills,coordinates_lon
92.2053,5.21001603976595e-06,92.2052897885562,92.20531021144379,2023-12-28,West Jaintia Hills,coordinates_lon
92.2053,5.305620638702561e-06,92.20528960117463,92.20531039882536,2023-12-29,West Jaintia Hills,coordinates_lon
92.2053,5.399532719507741e-06,92.20528941711034,92.20531058288965,2023-12-30,West Jaintia Hills,coordinates_lon
92.2053,5.491839110556932e-06,92.20528923619312,92.20531076380686,2023-12-31,West Jaintia Hills,coordinates_lon
42.10190676123473,119.92133042901351,-192.93958185775904,277.14339538022847,2023-12-02,West Jaintia Hills,rainfall_mm
36.76098627716336,130.2660267935661,-218.5557346473559,292.07770720168264,2023-12-03,West Jaintia Hills,rainfall_mm
39.367242436966606,155.30897860699645,-265.0327621084482,343.7672469823814,2023-12-04,West Jaintia Hills,rainfall_mm
38.095444590365005,169.59351122009994,-294.3017294127205,370.49261859345046,2023-12-05,West Jaintia Hills,rainfall_mm
38.71605502289539,185.90480055373123,-325.6506586155197,403.08276866131047,2023-12-06,West Jaintia Hills,rainfall_mm
38.41321026655716,199.44493981382055,-352.49168866728985,429.31810920040414,2023-12-07,West Jaintia Hills,rainfall_mm
38.56099209817675,212.78071543886352,-378.48154676666155,455.6035309630151,2023-12-08,West Jaintia Hills,rainfall_mm
38.48887769203379,225.02355806914045,-402.549191796539,479.52694718060656,2023-12-09,West Jaintia Hills,rainfall_mm
38.52406799598629,236.77498153760487,-425.5463682578555,502.59450424982805,2023-12-10,West Jaintia Hills,rainfall_mm
38.50689587243286,247.90426165998346,-447.3765285951285,524.3903203399942,2023-12-11,West Jaintia Hills,rainfall_mm
38.51527550529231,258.58572788498947,-468.3034380653618,545.3339890759464,2023-12-12,West Jaintia Hills,rainfall_mm
38.5111864218053,268.8286825437095,-488.38334937521677,565.4057222188273,2023-12-13,West Jaintia Hills,rainfall_mm
38.51318180800469,278.7022339595156,-507.7331591635018,584.7595227795111,2023-12-14,West Jaintia Hills,rainfall_mm
38.51220810177018,288.2345553803283,-526.417139543589,603.4415557471293,2023-12-15,West Jaintia Hills,rainfall_mm
38.51268324980488,297.46308309373234,-544.504246344156,621.5296128437658,2023-12-16,West Jaintia Hills,rainfall_mm
38.51245138762008,306.4130740460709,-562.0461381348837,639.0710409101239,2023-12-17,West Jaintia Hills,rainfall_mm
38.512564531459084,315.1093035144732,-579.090321550409,656.1154506133273,2023-12-18,West Jaintia Hills,rainfall_mm
38.51250931966025,323.5717376798147,-595.6764429478185,672.701461587139,2023-12-19,West Jaintia Hills,rainfall_mm
38.51253626184957,331.8184999404903,-611.8397730256174,688.8648455493167,2023-12-20,West Jaintia Hills,rainfall_mm
38.51252311463139,339.86517825318253,-627.610985860892,704.6360320901547,2023-12-21,West Jaintia Hills,rainfall_mm
38.512529530195614,347.72571672311216,-643.0173517454814,720.0424108058726,2023-12-22,West Jaintia Hills,rainfall_mm
38.51252639953606,355.4124404141244,-658.0830564696357,735.1081092687077,2023-12-23,West Jaintia Hills,rainfall_mm
38.512527927231666,362.93640549773045,-672.8297555267449,749.8548113812082,2023-12-24,West Jaintia Hills,rainfall_mm
38.512527181748546,370.3075271352548,-687.2768892074397,764.3019435709367,2023-12-25,West Jaintia Hills,rainfall_mm
38.512527545528535,377.53476073329267,-701.4420064036717,778.4670614947288,2023-12-26,West Jaintia Hills,rainfall_mm
38.512527368011604,384.626216128624,-715.3410037540102,792.3660584900335,2023-12-27,West Jaintia Hills,rainfall_mm
38.512527454636114,391.58927062620637,-728.9883397050369,806.0133946143092,2023-12-28,West Jaintia Hills,rainfall_mm
38.51252741236519,398.4306558553867,-742.3972084008656,819.422263225596,2023-12-29,West Jaintia Hills,rainfall_mm
38.512527432992506,405.15653545309254,-755.5796901560943,832.6047450220794,2023-12-30,West Jaintia Hills,rainfall_mm
38.51252742292681,411.77256938292857,-768.5468783891337,845.5719332349873,2023-12-31,West Jaintia Hills,rainfall_mm
23.36324055495795,3.6402131311413113,16.2285539218712,30.497927188044702,2023-12-02,West Jaintia Hills,temperature_c
24.297823021454253,3.7526000965216086,16.942861983890367,31.65278405901814,2023-12-03,West Jaintia Hills,temperature_c
24.507318316592734,3.7630767528569913,17.131823409933098,31.88281322325237,2023-12-04,West Jaintia Hills,temperature_c
24.554278622674328,3.764703829534653,17.17559470432639,31.932962541022267,2023-12-05,West Jaintia Hills,temperature_c
24.564805209182246,3.7650324116916307,17.18547728164067,31.944133136723824,2023-12-06,West Jaintia Hills,temperature_c
24.56716484081063,3.765104251398456,17.187696110031016,31.946633571590244,2023-12-07,West Jaintia Hills,temperature_c
24.56769377404245,3.765120263829386,17.188193659474905,31.947193888609995,2023-12-08,West Jaintia Hills,temperature_c
24.567812339313555,3.7651238486729794,17.18830519858168,31.94731948004543,2023-12-09,West Jaintia Hills,temperature_c
24.567838916814583,3.765124652109978,17.188330201375127,31.94734763225404,2023-12-10,West Jaintia Hills,temperature_c
24.567844874407008,3.7651248322876616,17.18833580582578,31.947353942988236,2023-12-11,West Jaintia Hills,temperature_c
24.567846209856395,3.765124872766999,17.188337061937123,31.947355357775667,2023-12-12,West Jaintia Hills,temperature_c
24.567846509209716,3.7651248819322127,17.188337343326957,31.947355675092474,2023-12-13,West Jaintia Hills,temperature_c
24.56784657631253,3.765124884078104,17.1883374062239,31.947355746401158,2023-12-14,West Jaintia Hills,temperature_c
24.567846591354247,3.765124884650551,17.18833742014364,31.947355762564854,2023-12-15,West Jaintia Hills,temperature_c
24.567846594725985,3.7651248848702963,17.188337423084686,31.947355766367284,2023-12-16,West Jaintia Hills,temperature_c
24.567846595481793,3.76512488501098,17.18833742356476,31.947355767398825,2023-12-17,West Jaintia Hills,temperature_c
24.567846595651215,3.765124885133942,17.18833742349318,31.94735576780925,2023-12-18,West Jaintia Hills,temperature_c
24.567846595689193,3.76512488525293,17.188337423297945,31.947355768080442,2023-12-19,West Jaintia Hills,temperature_c
24.567846595697706,3.7651248853710286,17.18833742307499,31.94735576832042,2023-12-20,West Jaintia Hills,temperature_c
24.567846595699613,3.765124885488927,17.18833742284582,31.947355768553408,2023-12-21,West Jaintia Hills,temperature_c
24.56784659570004,3.7651248856067814,17.188337422615255,31.947355768784824,2023-12-22,West Jaintia Hills,temperature_c
24.567846595700136,3.7651248857246253,17.188337422384382,31.94735576901589,2023-12-23,West Jaintia Hills,temperature_c
24.567846595700157,3.765124885842467,17.188337422153438,31.947355769246876,2023-12-24,West Jaintia Hills,temperature_c
24.56784659570016,3.7651248859603084,17.188337421922476,31.947355769477845,2023-12-25,West Jaintia Hills,temperature_c
24.56784659570016,3.765124886078149,17.188337421691514,31.947355769708807,2023-12-26,West Jaintia Hills,temperature_c
24.56784659570016,3.76512488619599,17.188337421460552,31.94735576993977,2023-12-27,West Jaintia Hills,temperature_c
24.56784659570016,3.7651248863138314,17.188337421229587,31.947355770170734,2023-12-28,West Jaintia Hills,temperature_c
24.56784659570016,3.765124886431672,17.18833742099862,31.9473557704017,2023-12-29,West Jaintia Hills,temperature_c
24.56784659570016,3.765124886549513,17.18833742076766,31.94735577063266,2023-12-30,West Jaintia Hills,temperature_c
24.56784659570016,3.765124886667354,17.188337420536694,31.947355770863627,2023-12-31,West Jaintia Hills,temperature_c
69.40037032328668,11.490370797390714,46.8796573913901,91.92108325518326,2023-12-02,West Jaintia Hills,humidity_percent
70.4925216716741,12.415275183670923,46.15902945352518,94.82601388982302,2023-12-03,West Jaintia Hills,humidity_percent
70.9101508467423,12.587479748013251,46.239143884509005,95.58115780897559,2023-12-04,West Jaintia Hills,humidity_percent
71.06984861035873,12.628711325965929,46.31802924031244,95.82166798040502,2023-12-05,West Jaintia Hills,humidity_percent
71.13091564596496,12.640933800219273,46.35514066658015,95.90669062534977,2023-12-06,West Jaintia Hills,humidity_percent
71.15426714916252,12.645091517392046,46.37034319386117,95.93819110446387,2023-12-07,West Jaintia Hills,humidity_percent
71.16319656085203,12.646606036947093,46.3763042017689,95.95008891993515,2023-12-08,West Jaintia Hills,humidity_percent
71.1666110902057,12.647174162952318,46.37860522461366,95.95461695579775,2023-12-09,West Jaintia Hills,humidity_percent
71.16791677652778,12.647389799552055,46.37948827096649,95.95634528208906,2023-12-10,West Jaintia Hills,humidity_percent
71.16841605961926,12.647472021967808,46.37982640108439,95.95700571815414,2023-12-11,West Jaintia Hills,humidity_percent
71.16860698113021,12.647503428957647,46.379955766026384,95.95725819623404,2023-12-12,West Jaintia Hills,humidity_percent
71.16867998785519,12.647515433960288,46.38000524337855,95.95735473233182,2023-12-13,West Jaintia Hills,humidity_percent
71.16870790499173,12.647520024109197,46.38002416398855,95.95739164599492,2023-12-14,West Jaintia Hills,humidity_percent
71.1687185802619,12.647521779510917,46.38003139873456,95.95740576178923,2023-12-15,West Jaintia Hills,humidity_percent
71.16872266239234,12.647522451021853,46.38003416472776,95.95741116005692,2023-12-16,West Jaintia Hills,humidity_percent
71.16872422336351,12.647522708075817,46.38003522188242,95.9574132248446,2023-12-17,West Jaintia Hills,humidity_percent
71.16872482026531,12.647522806647007,46.380035625588235,95.95741401494239,2023-12-18,West Jaintia Hills,humidity_percent
71.16872504851537,12.647522844616049,46.38003577942034,95.9574143176104,2023-12-19,West Jaintia Hills,humidity_percent
71.16872513579621,12.6475228594114,46.38003583770282,95.9574144338896,2023-12-20,West Jaintia Hills,humidity_percent
71.16872516917164,12.647522865345335,46.38003585944795,95.95741447889532,2023-12-21,West Jaintia Hills,humidity_percent
71.16872518193411,12.647522867890748,46.38003586722151,95.9574144966467,2023-12-22,West Jaintia Hills,humidity_percent
71.16872518681437,12.647522869140417,46.38003586965246,95.95741450397628,2023-12-23,West Jaintia Hills,humidity_percent
71.16872518868054,12.647522869894605,46.38003587004045,95.95741450732064,2023-12-24,West Jaintia Hills,humidity_percent
71.16872518939415,12.647522870459326,46.38003586964723,95.95741450914107,2023-12-25,West Jaintia Hills,humidity_percent
71.16872518966703,12.647522870951597,46.380035868955275,95.95741451037878,2023-12-26,West Jaintia Hills,humidity_percent
71.16872518977138,12.647522871416161,46.38003586814909,95.95741451139367,2023-12-27,West Jaintia Hills,humidity_percent
71.16872518981128,12.647522871870132,46.38003586729923,95.95741451232334,2023-12-28,West Jaintia Hills,humidity_percent
71.16872518982655,12.647522872320051,46.380035866432664,95.95741451322043,2023-12-29,West Jaintia Hills,humidity_percent
71.16872518983239,12.647522872768423,46.38003586555972,95.95741451410505,2023-12-30,West Jaintia Hills,humidity_percent
71.16872518983462,12.647522873216202,46.38003586468432,95.95741451498492,2023-12-31,West Jaintia Hills,humidity_percent
3.3333301445275785,0.8069147928766893,1.75180621189667,4.914854077158487,2023-12-02,West Jaintia Hills,pH_level
3.55982660523957,0.8792934743524878,1.8364430636676004,5.28321014681154,2023-12-03,West Jaintia Hills,pH_level
3.6517972939804615,0.8940047799591649,1.8995801232538423,5.404014464707081,2023-12-04,West Jaintia Hills,pH_level
3.68914272340079,0.8977570868610169,1.9295711662875998,5.44871428051398,2023-12-05,West Jaintia Hills,pH_level
3.70430713194967,0.8989214349689977,1.94245349447937,5.46616076941997,2023-12-06,West Jaintia Hills,pH_level
3.7104647606128487,0.899335308275052,1.9477999463685198,5.473129574857177,2023-12-07,West Jaintia Hills,pH_level
3.712965114690714,0.8994936680488698,1.9499899209931024,5.475940308388325,2023-12-08,West Jaintia Hills,pH_level
3.7139804033442956,0.8995563735997111,1.9508823090254044,5.477078497663187,2023-12-09,West Jaintia Hills,pH_level
3.714392669374622,0.8995815723564567,1.9512451864000542,5.4775401523491904,2023-12-10,West Jaintia Hills,pH_level
3.7145600732741553,0.899591761128353,1.9513926206736238,5.477727525874687,2023-12-11,West Jaintia Hills,pH_level
3.7146280489585854,0.8995958912377032,1.9514525014924755,5.477803596424695,2023-12-12,West Jaintia Hills,pH_level
3.714655651025722,0.8995975671575098,1.95147681881715,5.477834483234293,2023-12-13,West Jaintia Hills,pH_level
3.714666859064546,0.8995982475198822,1.951486693370228,5.477847024758864,2023-12-14,West Jaintia Hills,pH_level
3.7146714101778255,0.8995985237907738,1.95149070300251,5.477852117353141,2023-12-15,West Jaintia Hills,pH_level
3.7146732581935584,0.8995986360039052,1.9514923310845467,5.47785418530257,2023-12-16,West Jaintia Hills,pH_level
3.7146740085950403,0.8995986816044973,1.9514929921105104,5.47785502507957,2023-12-17,West Jaintia Hills,pH_level
3.7146743133015283,0.8995987001572667,1.9514932604542385,5.477855366148818,2023-12-18,West Jaintia Hills,pH_level
3.7146744370300206,0.8995987077271728,1.9514933693459877,5.477855504714054,2023-12-19,West Jaintia Hills,pH_level
3.7146744872709587,0.8995987108374196,1.9514934134909538,5.477855561050964,2023-12-20,West Jaintia Hills,pH_level
3.714674507671691,0.8995987121367898,1.9514934313449674,5.477855583998414,2023-12-21,West Jaintia Hills,pH_level
3.7146745159555703,0.8995987127008396,1.9514934385233293,5.477855593387812,2023-12-22,West Jaintia Hills,pH_level
3.7146745193193054,0.8995987129663067,1.9514934413667586,5.477855597271852,2023-12-23,West Jaintia Hills,pH_level
3.714674520685177,0.8995987131105319,1.9514934424499537,5.477855598920399,2023-12-24,West Jaintia Hills,pH_level
3.7146745212398,0.899598713205526,1.9514934428183917,5.477855599661208,2023-12-25,West Jaintia Hills,pH_level
3.714674521465009,0.8995987132805293,1.951493442896597,5.477855600033421,2023-12-26,West Jaintia Hills,pH_level
3.7146745215564567,0.8995987133474153,1.9514934428569508,5.477855600255962,2023-12-27,West Jaintia Hills,pH_level
3.7146745215935897,0.8995987134110052,1.95149344276945,5.47785560041773,2023-12-28,West Jaintia Hills,pH_level
3.714674521608668,0.8995987134732566,1.9514934426625175,5.477855600554818,2023-12-29,West Jaintia Hills,pH_level
3.7146745216147905,0.8995987135349645,1.9514934425476949,5.477855600681886,2023-12-30,West Jaintia Hills,pH_level
3.7146745216172765,0.8995987135964517,1.9514934424296682,5.477855600804885,2023-12-31,West Jaintia Hills,pH_level
15.414284937589663,3.873629206150124,7.82211120407294,23.006458671106387,2023-12-02,West Jaintia Hills,turbidity_ntu
15.21756503360352,4.131701475128828,7.119578947480003,23.31555111972704,2023-12-03,West Jaintia Hills,turbidity_ntu
15.2962282961049,4.18743313523267,7.089010163379225,23.503446428830575,2023-12-04,West Jaintia Hills,turbidity_ntu
15.264772867640493,4.189920176738776,7.052680223134795,23.47686551214619,2023-12-05,West Jaintia Hills,turbidity_ntu
15.277351089651843,4.192860148939305,7.059496205517558,23.495205973786128,2023-12-06,West Jaintia Hills,turbidity_ntu
15.272321380101205,4.192313703501632,7.055537509344276,23.489105250858135,2023-12-07,West Jaintia Hills,turbidity_ntu
15.274332632418181,4.192632772888946,7.056923397153547,23.491741867682816,2023-12-08,West Jaintia Hills,turbidity_ntu
15.273528384013414,4.192521266603703,7.056337697051907,23.49071907097492,2023-12-09,West Jaintia Hills,turbidity_ntu
15.273849982398216,4.1925684265088945,7.056566863721018,23.491133101075413,2023-12-10,West Jaintia Hills,turbidity_ntu
15.273721383422458,4.192549979764681,7.056474419699551,23.490968347145365,2023-12-11,West Jaintia Hills,turbidity_ntu
15.273772806866566,4.192557422035809,7.0565112565602846,23.491034357172847,2023-12-12,West Jaintia Hills,turbidity_ntu
15.273752243945374,4.192554456721417,7.056496505548505,23.491007982342243,2023-12-13,West Jaintia Hills,turbidity_ntu
15.273760466532082,4.192555644303242,7.056502400517605,23.49101853254656,2023-12-14,West Jaintia Hills,turbidity_ntu
15.273757178529783,4.192555169835882,7.056500042454244,23.491014314605323,2023-12-15,West Jaintia Hills,turbidity_ntu
15.273758493317878,4.192555359753721,7.056500985010215,23.49101600162554,2023-12-16,West Jaintia Hills,turbidity_ntu
15.273757967567718,4.1925552839647935,7.056500607803624,23.491015327331812,2023-12-17,West Jaintia Hills,turbidity_ntu
15.273758177801772,4.192555314419438,7.056500758347672,23.491015597255874,2023-12-18,West Jaintia Hills,turbidity_ntu
15.273758093734546,4.19255530238907,7.0565006978595335,23.49101548960956,2023-12-19,West Jaintia Hills,turbidity_ntu
15.273758127350881,4.192555307347225,7.056500721758063,23.4910155329437,2023-12-20,West Jaintia Hills,turbidity_ntu
15.273758113908567,4.192555305512081,7.056500711912564,23.49101551590457,2023-12-21,West Jaintia Hills,turbidity_ntu
15.273758119283805,4.192555306393398,7.056500715560453,23.491015523007157,2023-12-22,West Jaintia Hills,turbidity_ntu
15.273758117134385,4.192555306188472,7.05650071381268,23.491015520456088,2023-12-23,West Jaintia Hills,turbidity_ntu
15.273758117993882,4.192555306417906,7.056500714222496,23.49101552176527,2023-12-24,West Jaintia Hills,turbidity_ntu
15.27375811765019,4.192555306473651,7.056500713769546,23.491015521530834,2023-12-25,West Jaintia Hills,turbidity_ntu
15.273758117787624,4.19255530659885,7.056500713661594,23.491015521913653,2023-12-26,West Jaintia Hills,turbidity_ntu
15.273758117732667,4.192555306696277,7.056500713415684,23.49101552204965,2023-12-27,West Jaintia Hills,turbidity_ntu
15.273758117754642,4.192555306804808,7.056500713224942,23.491015522284343,2023-12-28,West Jaintia Hills,turbidity_ntu
15.273758117745855,4.192555306908899,7.05650071301214,23.49101552247957,2023-12-29,West Jaintia Hills,turbidity_ntu
15.273758117749368,4.192555307014765,7.056500712808159,23.491015522690578,2023-12-30,West Jaintia Hills,turbidity_ntu
15.273758117747963,4.192555307119921,7.056500712600652,23.491015522895275,2023-12-31,West Jaintia Hills,turbidity_ntu
745.7379233266702,212.0778222769103,330.07302974423965,1161.4028169091007,2023-12-02,West Jaintia Hills,dissolved_solids_mg_per_l
807.429423966491,218.84306506368895,378.50489817530485,1236.3539497576771,2023-12-03,West Jaintia Hills,dissolved_solids_mg_per_l
821.5169657583133,219.48679024928578,391.33076178741607,1251.7031697292105,2023-12-04,West Jaintia Hills,dissolved_solids_mg_per_l
824.7339216060082,219.58798641281766,394.3493767992148,1255.1184664128016,2023-12-05,West Jaintia Hills,dissolved_solids_mg_per_l
825.4685284720566,219.60871396201264,395.04335841535334,1255.8936985287598,2023-12-06,West Jaintia Hills,dissolved_solids_mg_per_l
825.636279374834,219.6133231421534,395.2020754910565,1256.0704832586114,2023-12-07,West Jaintia Hills,dissolved_solids_mg_per_l
825.6745860755785,219.6143692436441,395.23833187055516,1256.110840280602,2023-12-08,West Jaintia Hills,dissolved_solids_mg_per_l
